,title,price,link
10,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,"₹37,228",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itme5d4463121c64?pid=COMG9VKERHP4FACH&lid=LSTCOMG9VKERHP4FACHOL4YVH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=en_NU9ICZAb5qJ0HHJwNGbLejkkCqOa2pH3TO3ZcXKkvxuzs2GLfrRm2u9s1Pb2twk0BdDTf%2BmvJhaNJRxjxDfKYw%3D%3D&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
11,Infinix INBook X2 Plus Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Laptop,"₹35,990",/infinix-inbook-x2-plus-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-xl25-thin-light-laptop/p/itm9ef11ac29dfcb?pid=COMGGQE9FGPYDVDD&lid=LSTCOMGGQE9FGPYDVDDTK2NYT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_NU9ICZAb5qJ0HHJwNGbLejkkCqOa2pH3TO3ZcXKkvxvkj1peZ3lZdZ4sLKRzRGCuAPvLE3AE2Nk6i8kaxnUrOA%3D%3D&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
12,MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,"₹49,990",/msi-gf63-thin-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-max-q-11sc-1046in-gaming-laptop/p/itm4b5beacb857d7?pid=COMGGZ23ZZPQYFJA&lid=LSTCOMGGZ23ZZPQYFJAWNHHWX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMGGZ23ZZPQYFJA.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
13,DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook,"₹30,929",/dell-inspiron-athlon-dual-core-3050u-8-gb-256-gb-ssd-windows-11-home-3525-notebook/p/itm96a6101fa53ff?pid=COMGCYF9EZKKPEWD&lid=LSTCOMGCYF9EZKKPEWDXSSFWJ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMGCYF9EZKKPEWD.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
14,acer Aspire 7 Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,"₹49,990",/acer-aspire-7-ryzen-5-hexa-core-amd-r5-5500u-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-a715-42g-a715-42g-r2ne-gaming-laptop/p/itmf26ac2ffc71a8?pid=COMGYCG8ZBXWPYUU&lid=LSTCOMGYCG8ZBXWPYUUSTSMVQ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMGYCG8ZBXWPYUU.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
15,HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹62,990",/hp-pavilion-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-15-ec2145ax-gaming-laptop/p/itmbb28e8f26e4d1?pid=COMG92FXBNZSKYBD&lid=LSTCOMG92FXBNZSKYBDB8CIDK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMG92FXBNZSKYBD.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
16,Infinix INBook X2 Plus Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Laptop,"₹42,990",/infinix-inbook-x2-plus-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-xl25-thin-light-laptop/p/itm3b1aa994bd9a3?pid=COMGGQE9FUE5ZKST&lid=LSTCOMGGQE9FUE5ZKSTRA023K&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=en_NU9ICZAb5qJ0HHJwNGbLejkkCqOa2pH3TO3ZcXKkvxvhpm9%2BOZYO0sRGyCS%2FGjWIiLRp2VlhHMdzK99Xt4Lxfg%3D%3D&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
17,Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹55,990",/lenovo-ideapad-gaming-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-82k101b6in-82k101ftin-laptop/p/itm52edaf472c5df?pid=COMGFM5BFZHDDB4R&lid=LSTCOMGFM5BFZHDDB4RSEPODX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=en_NU9ICZAb5qJ0HHJwNGbLejkkCqOa2pH3TO3ZcXKkvxtgrLQtkXQUH28DfhPoCEkLoJvZ1BeZJcDjLj4pvEWnHg%3D%3D&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
18,Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15ADA7 Thin and Light Lap...,"₹31,017",/lenovo-ideapad-1-ryzen-3-dual-core-3250u-8-gb-512-gb-ssd-windows-11-home-15ada7-thin-light-laptop/p/itm3d18297fc081a?pid=COMGFM5BYHQPXCRZ&lid=LSTCOMGFM5BYHQPXCRZHYWG3P&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMGFM5BYHQPXCRZ.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
19,HP Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1559AU Thin and Light Laptop,"₹29,990",/hp-athlon-dual-core-3050u-8-gb-512-gb-ssd-windows-11-home-15s-eq1559au-thin-light-laptop/p/itm805c7d908648d?pid=COMGG63HRV3GFN4G&lid=LSTCOMGG63HRV3GFN4GPLQ1JG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMGG63HRV3GFN4G.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
20,Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹66,490",/lenovo-ideapad-gaming-3-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15ihu6d2-laptop/p/itm78e98bb9abfb1?pid=COMGBNFUHREA8EJN&lid=LSTCOMGBNFUHREA8EJNCOPCZZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=en_NU9ICZAb5qJ0HHJwNGbLejkkCqOa2pH3TO3ZcXKkvxvW6uJbE3cChliyARifoDxoPpzf12dFzI4QHZMyZ%2FBzWg%3D%3D&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
21,acer Aspire 7 Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹53,990",/acer-aspire-7-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-a715-42g-gaming-laptop/p/itm63ad210191f3d?pid=COMGCRQZQDZRA53F&lid=LSTCOMGCRQZQDZRA53FQ4VTOA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMGCRQZQDZRA53F.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
22,ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVID...,"₹85,990",/asus-rog-strix-g15-ryzen-7-octa-core-amd-r7-4800h-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050-ti-144-hz-g513ie-hn040ws-gaming-laptop/p/itm13c7975bead0a?pid=COMGE73KYN76YZC7&lid=LSTCOMGE73KYN76YZC71JHKIS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMGE73KYN76YZC7.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
23,ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,"₹62,990",/asus-vivobook-pro-15-ryzen-7-octa-core-amd-r7-4800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-max-q-m6500ih-hn701ws-creator-laptop/p/itm817ed9fab3f5d?pid=COMGG3S9Y9PWSRZS&lid=LSTCOMGG3S9Y9PWSRZS16LXOD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMGG3S9Y9PWSRZS.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
